index,Wind.speed.me,Wind.dir.sin.me,Wind.dir.cos.me,Nacelle.ambient.temp.me,turbine
12795,5.944659233093262,-0.9826798404825025,-0.18531144354648915,8.899999618530273,1
12807,5.661083698272705,-0.9561631663998299,-0.29283442287451666,9.4399995803833,1
12817,6.115830421447754,-0.9471737441505929,-0.32072090420137456,9.585000038146973,1
12850,6.3322529792785645,-0.9529842675130383,-0.30301977802222374,8.46500015258789,1
12917,8.352460861206055,-0.8668940141630629,-0.49849249563885256,8.010000228881836,1
12926,10.634354591369627,-0.889403371896121,-0.4571232241527556,8.46500015258789,1
13015,10.389127731323242,-0.7097965996881979,-0.7044066915291707,9.799999237060549,1
13068,7.73142147064209,-0.5857281396773906,-0.810507585646219,9.699999809265137,1
13117,10.095674514770508,-0.5924451901969379,-0.8056107599905268,9.88947296142578,1
13189,12.319279670715332,-0.34555856883212155,-0.9383971843024125,11.057499885559082,1
13207,11.46155834197998,-0.12350802891306974,-0.9923435729594908,10.079999923706056,1
13358,7.38890266418457,0.8856908556298961,0.46427546591822244,3.2174999713897705,1
13389,9.6465482711792,0.43005914162621317,0.9028007170487431,0.9350000023841858,1
13481,9.63916015625,-0.7665560424404146,0.6421774161383202,2.3350000381469727,1
13685,7.20557975769043,-0.08242549252887339,-0.9965972296677192,1.1675000190734863,1
13762,11.52565574645996,-0.9923105137407725,-0.12377335868240821,6.257500171661377,1
13763,11.108009338378906,-0.9998661204794237,0.0163627967483151,6.350000381469727,1
13878,12.275396347045898,-0.9371131512444226,-0.3490257035874978,11.864999771118164,1
13942,6.450992584228516,-0.44186993507772104,-0.8970791272091947,10.199999809265137,1
14157,7.836463928222656,-0.560619896879312,-0.8280732644054085,4.954999923706055,1
14223,12.164422035217283,-0.9190017530902362,0.3942534436337526,6.614999771118164,1
14243,9.62679386138916,-0.9996249006445638,-0.027387186992204753,6.164999961853027,1
14319,7.349086284637451,0.3007931708667269,-0.9536893982633654,5.722499847412109,1
14706,4.674263000488281,-0.5205268693183779,-0.8538452894509686,4.862500190734863,1
14858,5.262475490570068,0.2722220480214627,0.9622344602907341,3.487499952316284,1
14989,4.883986473083496,0.5914635734064941,0.8063317191660146,2.365000009536743,1
15025,7.684136390686035,0.8257997974757347,0.5639633804503936,2.8394737243652344,1
15057,9.432503700256348,0.7679281085112364,0.6405360412641546,5.184999942779541,1
15363,4.461949348449707,0.6789352807344501,-0.7341981235157398,4.474999904632568,1
15660,4.8885040283203125,-0.2125430516657327,0.9771517032624042,6.400000095367432,1
15678,4.303109645843506,-0.3510174666430776,0.9363689113332822,6.300000190734863,1
