,index,Date.time,Power.me,Mean,Upper,Lower,Squared Error,Absolute Error,Turbine
324,171107,2021-01-29 18:10:00,300.97058029174804,323.9587578705354,636.3032782845917,-20.776772088579712,528.4563083938624,22.988177578787372,1
325,171116,2021-01-29 19:40:00,356.8624938964846,387.82409459263545,704.6866484679967,95.31161884921734,958.6207176678898,30.961600696150867,1
326,171118,2021-01-29 20:00:00,218.0279190063477,266.62798148956165,561.2525391166794,-49.59391864358121,2361.9660733723,48.60006248321395,1
327,171136,2021-01-29 23:00:00,317.9422729492188,312.66642859615376,650.398965443508,19.167170814076925,27.834533637768416,5.275844353065054,1
328,171191,2021-01-30 08:10:00,1457.203906250001,1558.340559376362,1915.555825237098,1227.787162849623,10228.622605601846,101.1366531263609,1
329,171238,2021-01-30 16:00:00,1729.6997253417985,1499.697307078338,1794.565411442774,1207.138306562446,52901.112407039895,230.00241826346064,1
330,171256,2021-01-30 19:00:00,1313.7868621826178,1231.1926542691394,1523.2506845192888,914.0256303208224,6821.803180854896,82.59420791347839,1
331,171308,2021-01-31 03:40:00,401.6494384765625,399.7528180501176,673.8669732310909,122.6410653588288,3.5971690420081868,1.89662042644494,1
332,171324,2021-01-31 06:20:00,687.53426361084,648.9231110222348,1007.647109738346,351.9090981748163,1490.8211042205492,38.61115258860514,1
333,171338,2021-01-31 08:40:00,559.4248947143556,494.54383418129504,759.7499817057128,134.14432069581355,4209.552015894664,64.88106053306052,1
334,171639,2021-02-02 17:20:00,1307.017941284181,1296.0005288218852,1602.3705539239672,973.170236331262,121.38337736435194,11.017412462295852,1
335,171660,2021-02-02 20:50:00,1121.510470581055,933.098511554015,1220.2129148353768,652.820015131931,35499.066304406995,188.41195902704,1
336,171678,2021-02-02 23:50:00,1277.2894439697277,1054.314646063876,1365.4687995903082,779.7008398398616,49717.760501155455,222.9747979058518,1
337,171728,2021-02-03 08:10:00,180.9516593933105,208.17429832992855,534.9664337835811,-122.65471079907994,741.0720706734726,27.22263893661804,1
338,171765,2021-02-03 14:20:00,339.61176910400394,568.126181820936,896.543254794202,275.1750879874729,52218.83681936438,228.5144127169321,1
339,171779,2021-02-03 16:40:00,604.0405639648438,582.1809771790951,862.0989932711351,304.15140790077606,477.84153444368246,21.859586785748775,1
340,171809,2021-02-03 21:40:00,710.6384216308595,778.7418121372896,1080.2549287880888,513.7476380705275,4638.071798471308,68.10339050643006,1
341,171812,2021-02-03 22:10:00,504.517335510254,599.8944969219233,949.1303047158418,290.93343558107165,9096.80291894762,95.3771614116693,1
342,171835,2021-02-04 02:00:00,890.0662658691406,1015.7190176807572,1388.3695451532406,721.0728858883591,15788.614037831736,125.65275181161668,1
343,171867,2021-02-04 07:20:00,358.51051635742186,376.6049740929968,707.4266765416601,80.08991170554933,327.4094007445086,18.094457735574963,1
344,171916,2021-02-04 15:30:00,541.1417510986328,431.974112634237,762.7049998490455,104.25078353968556,11917.573287893028,109.1676384643958,1
345,171931,2021-02-04 18:00:00,241.986312866211,401.8479023018981,678.185391941614,103.20022872735407,25555.727776904187,159.8615894356871,1
346,171940,2021-02-04 19:30:00,324.596509552002,284.1119293162883,615.1350267518185,-18.57734008642745,1639.0012368619389,40.48458023571368,1
347,171971,2021-02-05 00:40:00,142.02990074157717,201.36515276668985,517.5444795046526,-97.25389408336191,3520.6721328836384,59.33525202511268,1
348,171990,2021-02-05 03:50:00,141.38586044311532,137.76492230787434,492.27928709775966,-161.91223629460987,13.1111929792424,3.620938135240976,1
349,172008,2021-02-05 06:50:00,181.9466678619385,211.8310780012063,562.6668672238943,-90.89106744655938,893.0779693719721,29.8844101392678,1
350,176113,2021-03-05 19:40:00,26.51992094218731,56.76740198758257,338.7995613653642,-273.30725161921606,914.9101095915458,30.247481045395265,1
351,176124,2021-03-05 21:30:00,135.94489593505867,160.7808744015047,514.9286346235086,-82.07817625514294,616.8258263857705,24.835978466446026,1
352,176129,2021-03-05 22:20:00,34.78932039737701,77.99049382814394,489.2294324149028,-237.10359319847095,1866.3413857952023,43.20117343076693,1
353,176138,2021-03-05 23:50:00,94.55120201110844,231.89234103150855,589.5165205408356,-78.96369181972518,18862.58846742087,137.3411390204001,1
354,176310,2021-03-07 04:30:00,-1.356157022342086,29.10507764608508,373.2200698979037,-303.8638489431991,927.8868175249892,30.461234668427167,1
355,176395,2021-03-07 18:40:00,202.9215553283693,103.10753078904315,392.2008574261271,-186.7843096612422,9962.839494737198,99.81402453932613,1
