,index,Wind.speed.me,Wind.dir.sin.me,Wind.dir.cos.me,Nacelle.ambient.temp.me,turbine,Power.me
3139,598330,6.468184471130371,0.7633155748354202,0.6460257991858158,2.852499961853028,4,598.00146484375
3140,598362,7.894693851470947,0.7300438234527418,0.6834003335077485,5.425000190734863,4,950.2328491210938
3141,598668,3.773113489151001,0.7050449506492419,-0.7091626171506843,4.297500133514404,4,84.69585418701172
3142,598965,3.7513251304626474,-0.3034623639110415,0.9528434255897044,6.164999961853027,4,102.5051727294922
3143,598983,4.044382572174072,-0.3142026149476273,0.949355948398741,6.277500152587891,4,108.7155303955078
3144,599260,6.508012294769287,0.8592753920056898,-0.5115132458631625,4.287500381469727,4,558.2767333984375
3145,599308,6.389813423156738,0.8502910484698517,-0.5263127709756247,3.390000104904175,4,472.2177429199219
3146,599309,5.5801544189453125,0.8652540569591619,-0.5013336383245307,3.40250015258789,4,356.3828430175781
3147,599387,5.763273239135742,-0.5192299037760846,-0.8546346043922385,3.882499933242798,4,464.9158020019531
3148,599769,10.963315963745115,-0.9822391521672044,-0.1876332804964292,4.737500190734863,4,2015.8428955078125
3149,599791,12.49966049194336,-0.963517349261388,-0.2676458811046953,5.59499979019165,4,2030.9520263671875
3150,599812,10.095762252807615,-0.9722679929958782,-0.2338695144642989,4.902500152587891,4,1935.0914306640625
3151,599829,12.290131568908691,-0.9009422236224462,-0.4339390621898909,4.650000095367432,4,2057.853759765625
3152,599858,12.350078582763672,-0.5744927575403159,-0.8185096648993974,5.855000019073486,4,2044.9908447265625
3153,599921,8.334084510803223,-0.9898905178459594,-0.1418335738767742,6.300000190734863,4,1292.3846435546875
3154,630623,5.916220188140869,-0.9993943722693656,-0.034797825741283,19.05000114440918,4,314.8915710449219
3155,630822,5.182211399078369,-0.8987362495670468,-0.4384896278296203,18.397499084472656,4,281.6358642578125
3156,630852,7.973454475402832,-0.8757696940838381,-0.4827291610461302,23.424999237060547,4,973.5360107421876
3157,631002,7.704354286193848,-0.9400160084535196,-0.3411303326459149,18.667499542236328,4,913.2008056640624
3158,631021,6.9870805740356445,-0.979584544882717,-0.2010326327413544,17.440000534057617,4,765.8020629882812
3159,631074,7.475552558898926,-0.9492897386556146,-0.3144025955413772,10.484210014343262,4,878.0884399414062
3160,631086,8.416374206542969,-0.9358067326537066,-0.3525134878554211,10.375,4,1126.6217041015625
3161,631115,8.355823516845703,-0.9747867772638104,-0.2231383850251554,14.672499656677246,4,1190.798828125
3162,631225,8.071798324584961,-0.9978069504341556,0.0661913111011626,8.875,4,1108.681640625
3163,631296,4.52875566482544,-0.966818408674502,0.2554646054703146,17.15999984741211,4,127.49427795410156
3164,631308,4.382835865020752,-0.9878133400107262,0.1556431986848556,16.475000381469727,4,153.9164581298828
3165,631380,5.849626064300537,-0.2481689484121486,-0.968716766162333,11.190000534057615,4,406.9463806152344
3166,631385,5.3546013832092285,-0.1146264030704888,-0.9934086710509034,10.947500228881836,4,267.5596923828125
3167,631433,9.082378387451172,0.0403577649520167,-0.9991852935307234,13.522500038146973,4,1452.9713134765625
3168,631447,5.709647178649902,-0.5433065039281799,-0.8395344202528796,17.108823776245117,4,418.9953002929688
3169,631525,6.484500885009766,-0.8924638847242972,-0.4511188473815037,13.907500267028809,4,560.0501708984375
3170,631534,8.39810848236084,-0.9478063392973264,-0.3188465825248895,14.414999961853027,4,1101.4918212890625
3171,631549,8.47946834564209,-0.952224093810545,-0.305400188550509,16.522499084472656,4,1115.633056640625
3172,631827,3.9370946884155273,-0.844384772153455,0.5357372084850538,14.520000457763672,4,122.19359588623048
3173,631831,4.190212726593018,-0.7715649519447854,0.6361505520947389,15.36750030517578,4,127.4222640991211
3174,631929,5.690601348876953,-0.7021747456555815,0.7120046534704106,12.204999923706056,4,294.7874450683594
3175,631940,5.492706298828125,-0.6006224413974971,0.7995327903780496,12.164999961853027,4,295.6523132324219
3176,631945,5.446983814239502,-0.3974772357957741,0.9176120351347572,12.557894706726074,4,318.8857727050781
3177,631962,4.264474391937256,-0.3030669835319919,0.9529692563209052,12.765789985656738,4,159.30979919433594
3178,632056,3.3609888553619385,0.9574799786616685,0.2884997235042891,13.489999771118164,4,32.33853530883789
3179,632268,5.448490619659424,-0.0517152162303789,-0.9986618729130722,20.075000762939453,4,309.719970703125
3180,632358,7.240310192108154,-0.2290360380064937,-0.9734179437909946,16.717500686645508,4,603.6436157226562
3181,632376,5.309772968292236,-0.1847924597453993,-0.9827775673168598,15.625,4,323.103515625
3182,632414,5.182712554931641,0.0926305113086069,-0.9957005515589042,20.98500061035156,4,252.95785522460935
3183,632566,0.9365438222885132,0.1929046494495531,-0.9812175070904232,22.82749938964844,4,-0.4806835055351257
3184,632571,1.1483999490737915,-0.1679876511105209,0.9857890996934232,24.332500457763672,4,-0.1045660004019737
3185,632580,0.9777937531471252,-0.2568693998309532,-0.9664461244324414,23.89000129699707,4,-0.2448765039443969
3186,632690,4.51295804977417,0.3998139995538614,0.9165962937742792,14.210526466369627,4,197.89041137695312
3187,632736,4.761529445648193,0.2879993254102569,0.9576306117513356,15.809374809265137,4,200.83822631835935
3188,632738,3.990882873535156,0.4831815075671232,0.8755202057891994,15.757894515991213,4,107.48965454101562
3189,632755,3.758671760559082,-0.1363501616438197,0.9906607054989636,15.130000114440918,4,99.24639129638672
3190,632853,5.278996467590332,0.0882972164515505,0.9960941730413384,17.829999923706055,4,286.6771850585937
3191,632931,5.848029613494873,-0.7244240839497926,0.6893545869822755,13.287500381469728,4,334.3782958984375
3192,633072,6.924478530883789,-0.9834769359547249,0.1810334677486625,10.278124809265137,4,612.1712036132812
3193,633150,8.914641380310059,-0.9965575587802028,-0.0829037516523993,15.48888874053955,4,1446.8843994140625
3194,633223,6.187741756439209,-0.92539270264693,-0.3790096910209691,11.244999885559082,4,513.04052734375
3195,633282,6.879120826721191,-0.5760742343208082,-0.8173973798292324,14.84999942779541,4,613.6868286132812
3196,633333,6.189746856689453,-0.8724911923052493,-0.4886298387836792,16.350000381469727,4,508.9211120605469
3197,633341,5.2017083168029785,-0.582297792572947,-0.8129755720590092,15.855555534362791,4,270.41796875
3198,633388,6.42344856262207,-0.4795194649435904,-0.8775312431704143,14.30500030517578,4,610.3880004882812
3199,633417,9.413105964660645,-0.796064866061523,-0.6052113093973455,17.622499465942383,4,1606.463623046875
3200,633440,9.34714126586914,-0.9234623575212348,-0.3836890332565204,20.11052703857422,4,1495.56982421875
3201,633795,3.965123891830444,-0.8712721653253166,0.4908001771895913,14.69499969482422,4,117.78020477294922
3202,633960,2.421150684356689,-0.9310224234710331,0.3649619802035877,12.489999771118164,4,1.4233694076538086
3203,633962,2.760974645614624,-0.9530808964686712,0.3027157161207095,12.38249969482422,4,13.551344871520996
3204,634016,7.009763717651367,-0.8100065653698925,-0.5864208080019587,17.27250099182129,4,687.9280395507812
3205,634023,5.502303123474121,-0.99740009600107,0.0720628093891445,17.155000686645508,4,326.9355163574219
3206,634049,5.678498268127441,-0.9642624984481248,-0.2649487386016025,15.704999923706056,4,343.409423828125
3207,634123,7.746992111206055,-0.8430816556769489,-0.537785572380865,12.640000343322754,4,852.7893676757812
3208,634137,6.860428333282471,-0.8839882708226436,-0.4675090769685573,15.542499542236328,4,665.37451171875
3209,634167,7.073581695556641,-0.9014453641157898,-0.4328928915033731,18.012500762939453,4,697.6554565429688
3210,634202,4.879178524017334,-0.9325713980325931,-0.3609855780658483,15.0,4,196.103515625
3211,634334,5.56055212020874,-0.8137805646090704,-0.581172257308057,17.807498931884766,4,304.19580078125
3212,634382,6.398612022399902,-0.310511227308291,-0.9505697121808052,12.857500076293944,4,588.7308349609375
3213,634411,9.692676544189451,-0.3660685541830266,-0.9305878860367508,14.297500610351562,4,1729.10693359375
3214,634471,7.197616100311279,-0.6540459858299865,-0.7564547894089118,19.982500076293945,4,780.0276489257812
3215,634524,5.324270248413086,-0.3824811750272697,-0.9239632843082884,17.5,4,238.46713256835935
3216,634570,7.749965190887451,-0.4461677825935442,-0.894949333636022,18.0473690032959,4,874.7872314453125
3217,634636,8.780106544494629,0.0919429006233483,-0.9957642808541411,19.030000686645508,4,1287.08837890625
3218,634683,12.349576950073242,-0.2629954998393148,-0.9647970600412652,18.794736862182617,4,1906.5703125
3219,634719,15.702007293701172,-0.7175286315245004,-0.696529010840595,18.69499969482422,4,2033.731689453125
3220,634807,9.478056907653809,-0.5370172450748015,-0.843571264619813,17.354999542236328,4,1481.9461669921875
3221,634885,15.357301712036133,-0.7398676024171045,-0.6727525034465242,21.80500030517578,4,2021.619873046875
3222,634926,10.3512544631958,-0.930495728561766,-0.3663027424526169,14.41249942779541,4,1861.840576171875
3223,634950,5.912014484405518,-0.6974107440007948,-0.7166716501664189,12.760000228881836,4,398.60931396484375
